date,brand,product,sales_units,avg_price,year,month,quarter,is_holiday,is_launch_month,search_volume,social_engagement,sentiment_score,competitor_activity,price_index,day_of_month,day_of_year,week_of_year,is_quarter_start,is_quarter_end,is_year_start,is_year_end,month_sin,month_cos,quarter_sin,quarter_cos,sales_units_lag_1,sales_units_lag_2,sales_units_lag_3,sales_units_lag_6,sales_units_lag_12,sales_units_rolling_mean_3,sales_units_rolling_std_3,sales_units_rolling_min_3,sales_units_rolling_max_3,sales_units_rolling_mean_6,sales_units_rolling_std_6,sales_units_rolling_min_6,sales_units_rolling_max_6,sales_units_rolling_mean_12,sales_units_rolling_std_12,sales_units_rolling_min_12,sales_units_rolling_max_12,sales_units_mom_growth,sales_units_mom_diff,sales_units_yoy_growth,sales_units_yoy_diff,sales_units_momentum_3m,sales_units_momentum_6m,sales_units_cv_3m,sales_units_cv_6m,sales_units_range_3m,sales_units_same_month_ly,sales_units_seasonal_avg,sales_units_seasonal_ratio,search_volume_lag_1,search_volume_rolling_mean_3,search_volume_growth,social_engagement_lag_1,social_engagement_rolling_mean_3,sentiment_lag_1,sentiment_rolling_mean_3,competitor_activity_lag_1,price_index_lag_1,price_change,search_sentiment_interaction,holiday_search_interaction,launch_sentiment_interaction,price_search_interaction,brand_total_sales,product_share_of_brand,product_rank_in_brand,sales_units_cumsum,sales_units_cumsum_ma_3
2018-01-01,Apple,Apple Airpods Headphones,1044.0,147.0,2018,1,1,0,0,13.006419729194505,6521.944199206655,0.3202520408742956,5.668627068357222,1.0,1,1,1,1,0,1,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1044.0,1044.0,1044.0,1044.0,1044.0,1044.0,14.849242404917497,1044.0,1044.0,1044.0,14.849242404917497,1044.0,1044.0,1044.0,14.849242404917497,1044.0,1044.0,0.02011494252873569,21.0,-0.22030651340996166,-230.0,282.0,222.0,0.014068443775383702,0.014068443775383702,0.0,1044.0,1134.5,0.9194187582562747,13.006419729194505,13.006419729194505,0.02903647900009365,6521.944199206655,6521.944199206655,0.3202520408742956,0.3202520408742956,5.668627068357222,1.0,0.0,4.165332462742243,0.0,0.0,13.006419729194505,6676.0,0.15635764564924368,2.0,1044.0,1044.0
2018-02-01,Apple,Apple Airpods Headphones,1065.0,147.0,2018,2,1,0,0,13.384080362527666,6577.8106278947025,0.3324076289389719,6.03108321110383,1.0,1,32,5,0,0,0,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1044.0,1044.0,1044.0,1044.0,1044.0,1054.5,14.849242404917497,1044.0,1065.0,1054.5,14.849242404917497,1044.0,1065.0,1054.5,14.849242404917497,1044.0,1065.0,0.02011494252873569,21.0,-0.22030651340996166,-230.0,282.0,222.0,0.014068443775383702,0.014068443775383702,21.0,1044.0,1155.0,0.921280276816609,13.006419729194505,13.195250045861085,0.02903647900009365,6521.944199206655,6549.877413550679,0.3202520408742956,0.32632983490663375,5.668627068357222,1.0,0.0,4.448970418836477,0.0,0.0,13.384080362527666,5439.0,0.1957720588235294,2.0,2109.0,1576.5
2018-03-01,Apple,Apple Airpods Headphones,1149.0,147.0,2018,3,1,0,0,20.51619491835375,7740.437739769056,0.45356398294955785,4.114750042788768,1.0,1,60,9,0,1,0,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,1065.0,1044.0,1044.0,1044.0,1044.0,1086.0,55.560777532356404,1044.0,1149.0,1086.0,55.560777532356404,1044.0,1149.0,1086.0,55.560777532356404,1044.0,1149.0,0.07887323943661961,84.0,-0.22030651340996166,-230.0,282.0,222.0,0.05111387077493689,0.05111387077493689,105.0,1044.0,1371.0,0.8374635568513119,13.384080362527666,15.635565003358641,0.5328804342653499,6577.8106278947025,6946.730855623471,0.3324076289389719,0.3687412175876084,6.03108321110383,1.0,0.0,9.305407082138005,0.0,0.0,20.51619491835375,6701.0,0.17144136078782454,2.0,3258.0,2137.0
2018-04-01,Apple,Apple Airpods Headphones,1326.0,147.0,2018,4,2,1,0,9.377580307706463,6628.0830966400945,0.4814664497912202,3.0603496765030895,1.0,1,91,13,1,0,0,0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1149.0,1065.0,1044.0,1044.0,1044.0,1180.0,133.23287882501077,1065.0,1326.0,1146.0,128.28873683998918,1044.0,1326.0,1146.0,128.28873683998918,1044.0,1326.0,0.15404699738903394,177.0,-0.22030651340996166,-230.0,282.0,222.0,0.1128136145851065,0.11184719863992082,261.0,1044.0,1437.5,0.921793534932221,20.51619491835375,14.425951862862627,-0.5429181510009297,7740.437739769056,6982.110488101284,0.45356398294955785,0.42247935389325003,4.114750042788768,1.0,0.0,4.5149902983834895,9.377580307706463,0.0,9.377580307706463,7076.0,0.18736752861381942,2.0,4584.0,3317.0
2018-05-01,Apple,Apple Airpods Headphones,1027.0,147.0,2018,5,2,0,0,23.061612474239972,6289.017031528301,0.3681625193795095,5.355862796890709,1.0,1,121,18,0,0,0,0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,1326.0,1149.0,1065.0,1044.0,1044.0,1167.3333333333333,150.34072413465796,1027.0,1326.0,1122.2,123.18969112713937,1027.0,1326.0,1122.2,123.18969112713937,1027.0,1326.0,-0.22549019607843135,-299.0,-0.22030651340996166,-230.0,-38.0,222.0,0.1286796497586231,0.10967743155906283,299.0,1044.0,1344.6666666666667,0.7631904879861283,9.377580307706463,17.651795900100062,1.459228470193747,6628.0830966400945,6885.845955979151,0.4814664497912202,0.43439765070676256,3.0603496765030895,1.0,0.0,8.490421349470111,0.0,0.0,23.061612474239972,5916.0,0.17356768632753083,2.0,5611.0,4484.333333333333
2018-06-01,Apple,Apple Airpods Headphones,1347.0,147.0,2018,6,2,0,0,18.784673707469118,4631.141215347702,0.46670209012830066,4.186271818285686,1.0,1,152,22,0,1,0,0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,1027.0,1326.0,1149.0,1044.0,1044.0,1233.3333333333333,178.99813779292043,1027.0,1347.0,1159.6666666666667,143.3982798595111,1027.0,1347.0,1159.6666666666667,143.3982798595111,1027.0,1347.0,0.311587147030185,320.0,-0.22030651340996166,-230.0,198.0,222.0,0.1450160446607511,0.12354820206161207,320.0,1044.0,1332.1666666666667,1.0103762970371295,23.061612474239972,17.074622163138518,-0.18545705646334287,6289.017031528301,5849.413781172033,0.3681625193795095,0.4387770197663434,5.355862796890709,1.0,0.0,8.766846481653971,0.0,0.0,18.784673707469118,6411.0,0.2100748596381784,2.0,6958.0,5717.666666666667
2018-07-01,Apple,Apple Airpods Headphones,1266.0,147.0,2018,7,3,1,0,21.614646644493725,8997.675330305905,0.4440825083722609,3.338981979140563,1.0,1,182,26,1,0,0,0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,1347.0,1027.0,1326.0,1044.0,1044.0,1213.3333333333333,166.37407650632753,1027.0,1347.0,1196.6666666666667,136.03626967344647,1027.0,1347.0,1174.857142857143,136.93481243695064,1027.0,1347.0,-0.060133630289532336,-81.0,-0.22030651340996166,-230.0,-60.0,222.0,0.13700857247295706,0.11358441664913425,320.0,1044.0,1386.8333333333333,0.9122132820943918,18.784673707469118,21.15364427540094,0.15065329220487667,4631.141215347702,6639.277859060637,0.46670209012830066,0.4263157059600237,4.186271818285686,1.0,0.0,9.598686499466845,21.614646644493725,0.0,21.614646644493725,7227.0,0.17515218594355286,2.0,8224.0,6931.0
2018-08-01,Apple,Apple Airpods Headphones,1265.0,147.0,2018,8,3,0,0,28.254890518488555,5260.7941532088125,0.5113350139312225,5.132959505271967,1.0,1,213,31,0,0,0,0,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,1266.0,1347.0,1027.0,1065.0,1044.0,1292.6666666666667,47.056703383613076,1265.0,1347.0,1230.0,120.99256175484501,1027.0,1347.0,1186.125,130.7215552233066,1027.0,1347.0,-0.0007898894154818592,-1.0,-0.22030651340996166,-230.0,238.0,200.0,0.036374674091945176,0.0982880274206702,82.0,1044.0,1305.1666666666667,0.9684828378205945,21.614646644493725,22.884736956817132,0.30721038299677295,8997.675330305905,6296.536899620806,0.4440825083722609,0.4740398708105946,3.338981979140563,1.0,0.0,14.44771483689651,0.0,0.0,28.254890518488555,6830.0,0.18518518518518517,2.0,9489.0,8223.666666666666
2018-09-01,Apple,Apple Airpods Headphones,1401.0,147.0,2018,9,3,0,1,26.748631786822447,10989.32751266851,0.49017081588309686,7.41674850511052,1.0,1,244,35,0,1,0,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,1265.0,1266.0,1347.0,1149.0,1044.0,1310.6666666666667,78.23255929172547,1265.0,1401.0,1272.0,130.60780987368244,1027.0,1401.0,1210.0,141.7118555379189,1027.0,1401.0,0.10750988142292495,136.0,-0.22030651340996166,-230.0,54.0,252.0,0.05964362843079451,0.10259843666432242,136.0,1044.0,1551.0,0.9027061855670103,28.254890518488555,25.539389649934908,-0.053309664416518965,5260.7941532088125,8415.932332061077,0.5113350139312225,0.4818627793955268,5.132959505271967,1.0,0.0,13.111398666703298,0.0,0.49017081588309686,26.748631786822447,8551.0,0.16382132834424695,2.0,10890.0,9534.333333333334
2018-10-01,Apple,Apple Airpods Headphones,1416.0,147.0,2018,10,4,0,0,38.37361368677446,7973.367219114862,0.44516768090366415,4.94265574003021,1.0,1,274,40,1,0,0,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1401.0,1265.0,1266.0,1326.0,1044.0,1360.6666666666667,83.18854087753513,1265.0,1416.0,1287.0,142.66183792451287,1027.0,1416.0,1230.6,148.64215044491547,1027.0,1416.0,0.010706638115631772,15.0,-0.22030651340996166,-230.0,150.0,90.0,0.0610931756750564,0.11076229652524291,151.0,1044.0,1526.0,0.9273084479371316,26.748631786822447,31.125711997361822,0.43460099165442156,10989.32751266851,8074.496294997395,0.49017081588309686,0.4822245035726611,7.41674850511052,1.0,0.0,17.082692612834492,0.0,0.0,38.37361368677446,7003.0,0.202170188463735,2.0,12306.0,10895.0
